,IA_LABEL,IA_ID,IA_LEFT,IA_TOP,batch,article_id,paragraph_id,level,RECORDING_SESSION_LABEL,TRIAL_INDEX,trial,list,has_preview,article_ind
324,French-Canadian,49,358,492,3,7,4,Adv,l17_356,6,6,17,0,1
325,brand-new,19,358,264,3,7,5,Adv,l17_356,7,7,17,0,1
326,"open-minded,",83,358,720,3,10,5,Ele,l17_356,24,23,17,0,4
327,three-square-meter,54,358,492,3,9,1,Ele,l17_356,26,25,17,0,5
328,e-bicycles,65,358,606,3,6,3,Adv,l17_356,48,47,17,0,9
329,e-bicycles,65,358,606,3,6,3,Adv,l15_350,12,10,15,0,2
330,French-Canadian,49,358,492,3,7,4,Adv,l15_350,27,24,15,0,4
331,brand-new,19,358,264,3,7,5,Adv,l15_350,28,25,15,0,4
332,"open-minded,",83,358,720,3,10,5,Ele,l15_350,53,46,15,0,8
333,three-square-meter,54,358,492,3,9,1,Ele,l15_350,55,48,15,0,9
334,three-square-meter,68,358,606,3,9,1,Adv,l16_354,22,19,16,0,4
335,three-square-meter,68,358,606,3,9,1,Adv,l14_352,52,48,14,0,9
336,film-makers.,16,358,264,2,8,6,Adv,l59_485,29,29,59,0,5
337,post-genocide,32,358,378,2,8,6,Adv,l59_485,29,29,59,0,5
338,film-editing,95,358,834,2,8,6,Adv,l59_485,29,29,59,0,5
339,51-year-old,64,358,606,2,1,5,Adv,l59_485,49,49,59,0,9
340,hunter-gatherer,47,358,492,1,6,4,Adv,l28_495,28,28,28,0,5
341,6.30am;,17,358,264,1,9,2,Ele,l28_495,37,37,28,0,7
342,10-year-olds,52,358,492,1,9,2,Ele,l28_495,37,37,28,0,7
343,hunter-gatherer,47,358,492,1,6,4,Adv,l32_502,13,13,32,0,2
344,6.30am;,17,358,264,1,9,2,Ele,l32_502,37,37,32,0,7
345,10-year-olds,52,358,492,1,9,2,Ele,l32_502,37,37,32,0,7
